state_name,county_name,fips,state_code,county_code,wse_filename
Delaware,Kent,10005,10,005,/nfs/qread-data/DASY/frd/FRD_10005C_GeoTIFFS_20160331/WSE_01pct.tif
Maryland,Anne Arundel,24003,24,003,/nfs/qread-data/DASY/frd/FRD_24003C_Coastal_GeoTIFFs_20150909/WSE_01pct.tif
Georgia,Bryan,13029,13,029,/nfs/qread-data/DASY/frd/FRD_13029C_GeoTiffs_20131216/WSE_01pctTif.tif
Florida,Flagler,12035,12,035,/nfs/qread-data/DASY/frd/FRD_12035C_GeoTIFF_20180117/FRD_12035C_GeoTIFF_20180117/WSE_01pct.tif
Maryland,Dorchester,24019,24,019,/nfs/qread-data/DASY/frd/FRD_24019C_Coastal_GeoTIFFs_20160120/WSE_01pct.tif
Maryland,Charles,24017,24,017,/nfs/qread-data/DASY/frd/FRD_24017C_Coastal_GeoTIFFs_20151104/FRD_24017C_Coastal_GeoTIFFs_20151104/WSE_01pct.tif
Texas,Harris,48201,48,201,/nfs/qread-data/DASY/frd/FRD_Harris_Coastal_GeoTIFF_20141205/wse_01pct.tif
Georgia,Liberty,13179,13,179,/nfs/qread-data/DASY/frd/FRD_13179C_GeoTiffs_20131216/WSE_01pctTif.tif
Alabama,Baldwin,01003,01,003,/nfs/qread-data/DASY/frd/FRD_01003C_GeoTIFFS_20190321/FRD_01097C_GeoTIFFS_20190321/wse_01pct.tif
Connecticut,New Haven,09009,09,009,/nfs/qread-data/DASY/frd/FRD_01100004_GeoTIFFs_20160323/wse_01pct.tif
