county_name,state_name,state,state_code,county_code
Clark County,Idaho,ID,16,033
Washington County,Colorado,CO,08,121
Daggett County,Utah,UT,49,009
Glacier County,Montana,MT,30,035
Grand County,Colorado,CO,08,049
Pershing County,Nevada,NV,32,027
Elmore County,Idaho,ID,16,039
Torrance County,New Mexico,NM,35,057
Duchesne County,Utah,UT,49,013
Bonner County,Idaho,ID,16,017
Cascade County,Montana,MT,30,013
Chelan County,Washington,WA,53,007
Maricopa County,Arizona,AZ,04,013
Ada County,Idaho,ID,16,001
Pueblo County,Colorado,CO,08,101
